Trade number,Instrument,Account,Strategy,Market pos.,Qty,Entry price,Exit price,Entry time,Exit time,Entry name,Exit name,Profit,Cum. net profit,Commission,Clearing Fee,Exchange Fee,IP Fee,NFA Fee,MAE,MFE,ETD,Bars,
1,NQ 06-26,Backtest,BlueLightning,Long,1,9408.00,9552.00,1/4/2019 4:00:00 PM,1/4/2019 10:00:00 PM,Buy,Exit on session close,$2880.00,$2880.00,$0.00,$0.00,$0.00,$0.00,$0.00,$245.00,$3385.00,$505.00,37,
2,NQ 06-26,Backtest,BlueLightning,Long,1,9686.25,9648.75,1/8/2019 3:50:00 PM,1/8/2019 4:20:00 PM,Buy,Stop loss,($750.00),$2130.00,$0.00,$0.00,$0.00,$0.00,$0.00,$750.00,$295.00,$1045.00,4,
3,NQ 06-26,Backtest,BlueLightning,Long,1,9750.75,9796.75,1/15/2019 4:00:00 PM,1/15/2019 10:00:00 PM,Buy,Exit on session close,$920.00,$3050.00,$0.00,$0.00,$0.00,$0.00,$0.00,$130.00,$1070.00,$150.00,37,
4,NQ 06-26,Backtest,BlueLightning,Long,1,9837.75,9800.25,1/16/2019 4:10:00 PM,1/16/2019 4:50:00 PM,Buy,Stop loss,($750.00),$2300.00,$0.00,$0.00,$0.00,$0.00,$0.00,$750.00,$195.00,$945.00,5,
5,NQ 06-26,Backtest,BlueLightning,Long,1,9874.50,9910.25,1/18/2019 3:50:00 PM,1/18/2019 10:00:00 PM,Buy,Exit on session close,$715.00,$3015.00,$0.00,$0.00,$0.00,$0.00,$0.00,$460.00,$1380.00,$665.00,38,
6,NQ 06-26,Backtest,BlueLightning,Long,1,9827.75,9790.25,1/23/2019 4:10:00 PM,1/23/2019 4:50:00 PM,Buy,Stop loss,($750.00),$2265.00,$0.00,$0.00,$0.00,$0.00,$0.00,$750.00,$235.00,$985.00,5,
7,NQ 06-26,Backtest,BlueLightning,Short,1,9794.25,9824.00,1/24/2019 5:40:00 PM,1/24/2019 10:00:00 PM,Sell short,Exit on session close,($595.00),$1670.00,$0.00,$0.00,$0.00,$0.00,$0.00,$705.00,$330.00,$925.00,27,
8,NQ 06-26,Backtest,BlueLightning,Long,1,9864.75,9908.25,1/25/2019 3:50:00 PM,1/25/2019 10:00:00 PM,Buy,Exit on session close,$870.00,$2540.00,$0.00,$0.00,$0.00,$0.00,$0.00,$150.00,$1220.00,$350.00,38,
9,NQ 06-26,Backtest,BlueLightning,Long,1,9849.50,9812.00,1/30/2019 3:50:00 PM,1/30/2019 4:10:00 PM,Buy,Stop loss,($750.00),$1790.00,$0.00,$0.00,$0.00,$0.00,$0.00,$750.00,$50.00,$800.00,3,
10,NQ 06-26,Backtest,BlueLightning,Long,1,9916.25,9929.75,1/30/2019 8:40:00 PM,1/30/2019 10:00:00 PM,Buy,Exit on session close,$270.00,$2060.00,$0.00,$0.00,$0.00,$0.00,$0.00,$150.00,$670.00,$400.00,9,
11,NQ 06-26,Backtest,BlueLightning,Long,1,10020.75,10078.25,2/4/2019 4:10:00 PM,2/4/2019 10:00:00 PM,Buy,Exit on session close,$1150.00,$3210.00,$0.00,$0.00,$0.00,$0.00,$0.00,$255.00,$1155.00,$5.00,36,
