Trade number,Instrument,Account,Strategy,Market pos.,Qty,Entry price,Exit price,Entry time,Exit time,Entry name,Exit name,Profit,Cum. net profit,Commission,Clearing Fee,Exchange Fee,IP Fee,NFA Fee,MAE,MFE,ETD,Bars,
1,NQ 06-26,Backtest,MomentumNQ,Short,1,10142.00,10155.00,6/4/2019 3:38:00 PM,6/4/2019 4:26:00 PM,Sell short,Stop loss,($265.16),($265.16),$5.16,$0.00,$0.00,$0.00,$0.00,$260.00,$570.00,$835.16,13,
2,NQ 06-26,Backtest,MomentumNQ,Short,1,10579.00,10592.00,8/6/2019 3:38:00 PM,8/6/2019 4:06:00 PM,Sell short,Stop loss,($265.16),($530.32),$5.16,$0.00,$0.00,$0.00,$0.00,$260.00,$660.00,$925.16,8,
3,NQ 06-26,Backtest,MomentumNQ,Short,1,12003.50,12016.50,2/26/2020 3:46:00 PM,2/26/2020 3:46:00 PM,Sell short,Stop loss,($265.16),($795.48),$5.16,$0.00,$0.00,$0.00,$0.00,$260.00,$0.00,$265.16,1,
4,NQ 06-26,Backtest,MomentumNQ,Short,1,11789.50,11802.50,3/4/2020 3:38:00 PM,3/4/2020 4:26:00 PM,Sell short,Stop loss,($265.16),($1060.64),$5.16,$0.00,$0.00,$0.00,$0.00,$260.00,$2190.00,$2455.16,13,
5,NQ 06-26,Backtest,MomentumNQ,Long,1,11117.00,11104.00,3/9/2020 3:42:00 PM,3/9/2020 3:46:00 PM,Buy,Stop loss,($265.16),($1325.80),$5.16,$0.00,$0.00,$0.00,$0.00,$260.00,$595.00,$860.16,2,
6,NQ 06-26,Backtest,MomentumNQ,Short,1,11240.25,11253.25,3/10/2020 2:38:00 PM,3/10/2020 2:38:00 PM,Sell short,Stop loss,($265.16),($1590.96),$5.16,$0.00,$0.00,$0.00,$0.00,$260.00,$0.00,$265.16,1,
7,NQ 06-26,Backtest,MomentumNQ,Long,1,10543.50,10530.50,3/12/2020 3:46:00 PM,3/12/2020 3:46:00 PM,Buy,Stop loss,($265.16),($1856.12),$5.16,$0.00,$0.00,$0.00,$0.00,$260.00,$0.00,$265.16,1,
8,NQ 06-26,Backtest,MomentumNQ,Short,1,10659.75,10672.75,3/13/2020 2:38:00 PM,3/13/2020 2:38:00 PM,Sell short,Stop loss,($265.16),($2121.28),$5.16,$0.00,$0.00,$0.00,$0.00,$260.00,$0.00,$265.16,1,
9,NQ 06-26,Backtest,MomentumNQ,Long,1,10298.25,10285.25,3/19/2020 4:02:00 PM,3/19/2020 4:02:00 PM,Buy,Stop loss,($265.16),($2386.44),$5.16,$0.00,$0.00,$0.00,$0.00,$260.00,$0.00,$265.16,1,
10,NQ 06-26,Backtest,MomentumNQ,Short,1,11574.00,11587.00,4/22/2020 3:38:00 PM,4/22/2020 3:38:00 PM,Sell short,Stop loss,($265.16),($2651.60),$5.16,$0.00,$0.00,$0.00,$0.00,$260.00,$0.00,$265.16,1,
