Trade number,Instrument,Account,Strategy,Market pos.,Qty,Entry price,Exit price,Entry time,Exit time,Entry name,Exit name,Profit,Cum. net profit,Commission,Clearing Fee,Exchange Fee,IP Fee,NFA Fee,MAE,MFE,ETD,Bars,
1,NQ 06-26,Backtest,NQPivots,Short,1,9707.75,9730.75,1/9/2019 3:39:00 PM,1/9/2019 10:00:00 PM,Sell short,Exit on session close,($465.16),($465.16),$5.16,$0.00,$0.00,$0.00,$0.00,$1050.00,$645.00,$1110.16,382,
2,NQ 06-26,Backtest,NQPivots,Long,1,9790.75,9840.75,1/17/2019 3:52:00 PM,1/17/2019 8:42:00 PM,Buy,Profit target,$994.84,$529.68,$5.16,$0.00,$0.00,$0.00,$0.00,$80.00,$1000.00,$5.16,291,
3,NQ 06-26,Backtest,NQPivots,Short,1,9876.75,9910.75,1/18/2019 3:40:00 PM,1/18/2019 10:00:00 PM,Sell short,Exit on session close,($685.16),($155.48),$5.16,$0.00,$0.00,$0.00,$0.00,$1335.00,$505.00,$1190.16,381,
4,NQ 06-26,Backtest,NQPivots,Short,1,9817.50,9767.50,1/23/2019 3:39:00 PM,1/23/2019 5:19:00 PM,Sell short,Profit target,$994.84,$839.36,$5.16,$0.00,$0.00,$0.00,$0.00,$440.00,$1000.00,$5.16,101,
5,NQ 06-26,Backtest,NQPivots,Short,1,9817.50,9824.50,1/24/2019 3:50:00 PM,1/24/2019 10:00:00 PM,Sell short,Exit on session close,($145.16),$694.20,$5.16,$0.00,$0.00,$0.00,$0.00,$325.00,$815.00,$960.16,371,
6,NQ 06-26,Backtest,NQPivots,Short,1,9961.25,10026.75,1/31/2019 3:34:00 PM,1/31/2019 10:00:00 PM,Sell short,Exit on session close,($1315.16),($620.96),$5.16,$0.00,$0.00,$0.00,$0.00,$1940.00,$115.00,$1430.16,387,
7,NQ 06-26,Backtest,NQPivots,Long,1,10017.75,9994.00,2/1/2019 3:41:00 PM,2/1/2019 10:00:00 PM,Buy,Exit on session close,($480.16),($1101.12),$5.16,$0.00,$0.00,$0.00,$0.00,$840.00,$500.00,$980.16,380,
8,NQ 06-26,Backtest,NQPivots,Long,1,10137.00,10117.75,2/6/2019 3:42:00 PM,2/6/2019 10:00:00 PM,Buy,Exit on session close,($390.16),($1491.28),$5.16,$0.00,$0.00,$0.00,$0.00,$990.00,$275.00,$665.16,379,
9,NQ 06-26,Backtest,NQPivots,Short,1,10055.50,10031.75,2/11/2019 3:34:00 PM,2/11/2019 10:00:00 PM,Sell short,Exit on session close,$469.84,($1021.44),$5.16,$0.00,$0.00,$0.00,$0.00,$485.00,$850.00,$380.16,387,
10,NQ 06-26,Backtest,NQPivots,Short,1,10160.00,10175.25,2/15/2019 3:52:00 PM,2/15/2019 10:00:00 PM,Sell short,Exit on session close,($310.16),($1331.60),$5.16,$0.00,$0.00,$0.00,$0.00,$590.00,$385.00,$695.16,369,
