Trade number,Instrument,Account,Strategy,Market pos.,Qty,Entry price,Exit price,Entry time,Exit time,Entry name,Exit name,Profit,Cum. net profit,Commission,Clearing Fee,Exchange Fee,IP Fee,NFA Fee,MAE,MFE,ETD,Bars,
1,NQ 06-26,Backtest,Tom3,Short,1,9464.75,9385.25,1/2/2019 5:14:00 PM,1/2/2019 10:58:00 PM,Sell short,ExitOnClose,$1590.00,$1590.00,$0.00,$0.00,$0.00,$0.00,$0.00,$1195.00,$1980.00,$390.00,330,
2,NQ 06-26,Backtest,Tom3,Long,1,9349.75,9286.25,1/3/2019 12:03:00 AM,1/3/2019 10:58:00 PM,Buy,ExitOnClose,($1270.00),$320.00,$0.00,$0.00,$0.00,$0.00,$0.00,$1720.00,$1395.00,$2665.00,1361,
3,NQ 06-26,Backtest,Tom3,Long,1,9511.50,9543.00,1/4/2019 5:04:00 PM,1/4/2019 10:58:00 PM,Buy,ExitOnClose,$630.00,$950.00,$0.00,$0.00,$0.00,$0.00,$0.00,$285.00,$1315.00,$685.00,340,
4,NQ 06-26,Backtest,Tom3,Long,1,10798.50,10895.25,5/6/2019 12:14:00 AM,5/6/2019 10:58:00 PM,Buy,ExitOnClose,$1935.00,$2885.00,$0.00,$0.00,$0.00,$0.00,$0.00,$895.00,$2105.00,$170.00,1350,
5,NQ 06-26,Backtest,Tom3,Long,1,10536.25,10510.50,6/7/2019 5:03:00 PM,6/7/2019 10:58:00 PM,Buy,ExitOnClose,($515.00),$2370.00,$0.00,$0.00,$0.00,$0.00,$0.00,$770.00,$60.00,$575.00,341,
6,NQ 06-26,Backtest,Tom3,Long,1,10877.25,10853.25,7/1/2019 12:11:00 AM,7/1/2019 10:58:00 PM,Buy,ExitOnClose,($480.00),$1890.00,$0.00,$0.00,$0.00,$0.00,$0.00,$1155.00,$660.00,$1140.00,1353,
7,NQ 06-26,Backtest,Tom3,Long,1,10853.00,10902.25,7/31/2019 8:55:00 PM,7/31/2019 10:58:00 PM,Buy,ExitOnClose,$985.00,$2875.00,$0.00,$0.00,$0.00,$0.00,$0.00,$25.00,$2540.00,$1555.00,109,
8,NQ 06-26,Backtest,Tom3,Short,1,10937.75,10852.25,8/1/2019 7:52:00 PM,8/1/2019 10:58:00 PM,Sell short,ExitOnClose,$1710.00,$4585.00,$0.00,$0.00,$0.00,$0.00,$0.00,$155.00,$2010.00,$300.00,172,
9,NQ 06-26,Backtest,Tom3,Long,1,10340.25,10578.00,8/6/2019 12:09:00 AM,8/6/2019 10:58:00 PM,Buy,ExitOnClose,$4755.00,$9340.00,$0.00,$0.00,$0.00,$0.00,$0.00,$1105.00,$5385.00,$630.00,1355,
10,NQ 06-26,Backtest,Tom3,Long,1,10794.25,10812.50,8/13/2019 3:51:00 PM,8/13/2019 10:58:00 PM,Buy,ExitOnClose,$365.00,$9705.00,$0.00,$0.00,$0.00,$0.00,$0.00,$795.00,$1115.00,$750.00,413,
11,NQ 06-26,Backtest,Tom3,Long,1,10630.50,10549.50,8/23/2019 5:27:00 PM,8/23/2019 10:58:00 PM,Buy,ExitOnClose,($1620.00),$8085.00,$0.00,$0.00,$0.00,$0.00,$0.00,$2445.00,$400.00,$2020.00,317,
12,NQ 06-26,Backtest,Tom3,Long,1,10451.25,10651.00,8/26/2019 12:14:00 AM,8/26/2019 10:58:00 PM,Buy,ExitOnClose,$3995.00,$12080.00,$0.00,$0.00,$0.00,$0.00,$0.00,$390.00,$4705.00,$710.00,1350,
13,NQ 06-26,Backtest,Tom3,Long,1,10766.25,10776.50,9/24/2019 6:44:00 PM,9/24/2019 10:58:00 PM,Buy,ExitOnClose,$205.00,$12285.00,$0.00,$0.00,$0.00,$0.00,$0.00,$500.00,$900.00,$695.00,240,
14,NQ 06-26,Backtest,Tom3,Long,1,10635.50,10828.75,10/10/2019 12:43:00 AM,10/10/2019 10:58:00 PM,Buy,ExitOnClose,$3865.00,$16150.00,$0.00,$0.00,$0.00,$0.00,$0.00,$255.00,$4055.00,$190.00,1321,
15,NQ 06-26,Backtest,Tom3,Long,1,11341.25,11349.75,12/2/2019 4:32:00 PM,12/2/2019 10:58:00 PM,Buy,ExitOnClose,$170.00,$16320.00,$0.00,$0.00,$0.00,$0.00,$0.00,$505.00,$685.00,$515.00,372,
16,NQ 06-26,Backtest,Tom3,Long,1,11749.50,11966.00,1/8/2020 12:43:00 AM,1/8/2020 10:58:00 PM,Buy,ExitOnClose,$4330.00,$20650.00,$0.00,$0.00,$0.00,$0.00,$0.00,$1135.00,$4750.00,$420.00,1321,
17,NQ 06-26,Backtest,Tom3,Long,1,12039.25,11976.75,1/27/2020 12:12:00 AM,1/27/2020 10:58:00 PM,Buy,ExitOnClose,($1250.00),$19400.00,$0.00,$0.00,$0.00,$0.00,$0.00,$1980.00,$590.00,$1840.00,1352,
18,NQ 06-26,Backtest,Tom3,Long,1,12233.75,12253.75,1/30/2020 10:08:00 PM,1/30/2020 10:58:00 PM,Buy,ExitOnClose,$400.00,$19800.00,$0.00,$0.00,$0.00,$0.00,$0.00,$155.00,$420.00,$20.00,36,
19,NQ 06-26,Backtest,Tom3,Long,1,12232.75,12028.50,1/31/2020 12:02:00 AM,1/31/2020 10:58:00 PM,Buy,ExitOnClose,($4085.00),$15715.00,$0.00,$0.00,$0.00,$0.00,$0.00,$5040.00,$615.00,$4700.00,1362,
20,NQ 06-26,Backtest,Tom3,Long,1,12556.50,12636.50,2/20/2020 5:35:00 PM,2/20/2020 10:58:00 PM,Buy,ExitOnClose,$1600.00,$17315.00,$0.00,$0.00,$0.00,$0.00,$0.00,$275.00,$2035.00,$435.00,309,
21,NQ 06-26,Backtest,Tom3,Long,1,12316.00,12114.00,2/24/2020 12:14:00 AM,2/24/2020 10:58:00 PM,Buy,ExitOnClose,($4040.00),$13275.00,$0.00,$0.00,$0.00,$0.00,$0.00,$5200.00,$745.00,$4785.00,1351,
