Trade number,Instrument,Account,Strategy,Market pos.,Qty,Entry price,Exit price,Entry time,Exit time,Entry name,Exit name,Profit,Cum. net profit,Commission,Clearing Fee,Exchange Fee,IP Fee,NFA Fee,MAE,MFE,ETD,Bars,
1,NQ 06-26,Backtest,VariableTrend,Long,1,9373.75,9323.75,1/3/2019 4:20:00 PM,1/3/2019 4:20:00 PM,Buy,Stop loss,($1005.16),($1005.16),$5.16,$0.00,$0.00,$0.00,$0.00,$1000.00,$0.00,$1005.16,1,
2,NQ 06-26,Backtest,VariableTrend,Short,1,9321.75,9371.75,1/3/2019 5:30:00 PM,1/3/2019 6:40:00 PM,Sell short,Stop loss,($1005.16),($2010.32),$5.16,$0.00,$0.00,$0.00,$0.00,$1000.00,$735.00,$1740.16,2,
3,NQ 06-26,Backtest,VariableTrend,Long,1,9358.00,9547.00,1/4/2019 9:20:00 AM,1/4/2019 11:00:00 PM,Buy,Exit on session close,$3774.84,$1764.52,$5.16,$0.00,$0.00,$0.00,$0.00,$345.00,$4385.00,$610.16,13,
4,NQ 06-26,Backtest,VariableTrend,Short,1,9619.50,9643.75,1/8/2019 6:40:00 PM,1/8/2019 7:50:00 PM,Sell short,Close position,($490.16),$1274.36,$5.16,$0.00,$0.00,$0.00,$0.00,$830.00,$310.00,$800.16,2,
5,NQ 06-26,Backtest,VariableTrend,Long,1,9643.75,9667.00,1/8/2019 7:50:00 PM,1/8/2019 11:00:00 PM,Buy,Exit on session close,$459.84,$1734.20,$5.16,$0.00,$0.00,$0.00,$0.00,$370.00,$865.00,$405.16,4,
6,NQ 06-26,Backtest,VariableTrend,Short,1,9689.25,9703.00,1/10/2019 3:30:00 AM,1/10/2019 6:40:00 PM,Sell short,Close position,($280.16),$1454.04,$5.16,$0.00,$0.00,$0.00,$0.00,$635.00,$930.00,$1210.16,14,
7,NQ 06-26,Backtest,VariableTrend,Long,1,9703.00,9743.00,1/10/2019 6:40:00 PM,1/10/2019 11:00:00 PM,Buy,Exit on session close,$794.84,$2248.88,$5.16,$0.00,$0.00,$0.00,$0.00,$465.00,$1080.00,$285.16,5,
8,NQ 06-26,Backtest,VariableTrend,Short,1,9700.75,9728.75,1/11/2019 6:40:00 PM,1/11/2019 7:50:00 PM,Sell short,Close position,($565.16),$1683.72,$5.16,$0.00,$0.00,$0.00,$0.00,$590.00,$50.00,$615.16,2,
9,NQ 06-26,Backtest,VariableTrend,Long,1,9728.75,9702.75,1/11/2019 7:50:00 PM,1/11/2019 9:00:00 PM,Buy,Close position,($525.16),$1158.56,$5.16,$0.00,$0.00,$0.00,$0.00,$635.00,$40.00,$565.16,2,
10,NQ 06-26,Backtest,VariableTrend,Short,1,9702.75,9713.25,1/11/2019 9:00:00 PM,1/11/2019 10:10:00 PM,Sell short,Close position,($215.16),$943.40,$5.16,$0.00,$0.00,$0.00,$0.00,$370.00,$70.00,$285.16,2,
